SampleID,Region2,S,T,CTX,CIP
1,1,0,0,0,0
2,1,0,0,1,0
3,1,0,0,0,0
4,1,0,0,0,0
5,1,0,0,0,0
6,1,0,0,0,0
7,1,0,0,0,0
8,1,0,0,0,0
9,1,0,0,0,0
10,1,0,0,0,0
11,1,0,0,0,0
12,1,0,0,0,0
13,1,0,0,0,0
14,1,0,0,0,0
15,1,0,0,0,0
16,1,0,0,0,0
17,1,0,0,0,0
18,1,0,0,0,0
19,1,0,0,1,0
20,1,0,0,1,0
21,1,1,1,0,0
22,1,1,1,0,0
23,1,0,0,0,0
24,1,1,1,0,0
25,1,0,0,0,0
26,1,1,1,0,0
27,1,1,1,0,0
28,1,1,1,0,0
29,1,1,1,0,0
30,1,1,1,0,0
31,1,1,1,0,0
32,1,1,1,0,0
33,1,1,1,0,0
34,1,0,0,0,0
35,1,1,1,0,0
36,1,1,1,0,0
37,1,0,1,0,0
38,1,0,0,0,0
39,1,0,0,0,0
40,1,1,1,0,0
41,1,1,1,0,0
42,1,0,0,0,0
43,1,0,0,0,0
44,1,0,0,0,0
45,1,0,0,0,0
46,1,0,0,0,0
47,1,1,1,0,0
48,1,1,1,0,0
49,1,1,0,0,0
50,1,0,0,0,0
51,1,0,0,0,0
52,1,0,0,0,0
53,1,0,1,0,0
54,1,1,1,0,0
55,1,0,0,0,0
56,1,0,1,0,0
57,1,1,1,0,0
58,1,0,0,0,0
59,1,0,1,0,0
60,1,0,1,0,0
61,1,0,1,0,0
62,1,0,1,0,0
63,1,1,1,0,0
64,1,0,0,0,0
65,1,0,1,0,0
66,1,0,1,0,0
67,1,0,1,0,0
68,1,0,1,0,0
69,1,0,0,0,0
70,1,0,0,0,0
71,1,0,0,0,0
72,1,0,0,0,0
73,1,0,0,0,0
74,1,0,0,0,0
75,1,0,0,0,0
76,1,0,0,0,0
77,1,0,1,0,0
78,1,0,1,0,0
79,1,0,1,0,0
80,1,0,1,0,0
81,1,0,0,0,0
82,1,0,1,0,0
83,1,0,1,0,0
84,1,0,1,0,0
85,1,0,1,0,0
86,1,0,1,0,0
87,1,0,0,0,0
88,1,0,0,0,0
89,1,0,0,0,0
90,1,0,0,0,0
91,1,0,0,0,0
92,1,0,0,0,0
93,1,0,0,0,0
94,1,0,0,0,0
95,1,0,0,0,0
96,1,0,0,0,0
97,1,0,0,0,0
98,1,0,0,0,0
99,1,0,0,0,0
100,1,0,0,0,0
101,1,0,0,0,0
102,1,0,0,0,0
103,1,0,0,0,0
104,1,1,0,0,0
105,1,0,1,0,0
106,1,0,1,0,0
107,1,0,1,0,0
108,1,0,1,0,0
109,1,0,1,0,0
110,1,0,1,0,0
111,1,0,1,0,0
112,1,1,1,0,0
113,1,0,0,0,0
114,1,0,1,0,0
115,1,0,1,0,0
116,1,0,1,0,0
117,1,0,0,0,0
118,1,0,1,0,0
119,1,0,0,0,0
120,1,0,1,0,0
121,1,0,1,1,0
122,1,0,1,0,0
123,1,0,1,0,0
124,1,1,1,0,0
125,1,1,1,0,0
126,1,1,1,0,0
127,1,0,0,0,0
128,1,1,1,0,0
129,1,0,0,0,0
130,1,0,0,0,0
131,1,0,0,0,0
132,1,0,0,0,0
133,1,0,0,0,0
134,1,0,0,1,0
135,1,0,0,1,0
136,1,1,1,0,0
137,1,0,1,0,0
138,1,0,1,0,0
139,1,0,1,0,0
140,1,0,1,0,0
141,1,0,1,0,0
142,1,0,0,0,0
143,1,0,0,0,0
144,1,0,0,0,0
145,1,0,0,0,0
146,1,0,1,0,0
147,1,0,1,0,0
148,1,0,0,0,0
149,1,0,0,0,0
150,1,0,0,0,0
151,1,0,0,0,0
152,1,0,0,0,0
153,1,0,0,0,0
154,1,0,0,0,0
155,1,0,0,0,0
156,1,0,0,0,0
157,1,0,0,0,0
158,1,0,0,0,0
159,1,0,0,0,0
160,1,0,0,0,0
161,1,0,0,0,0
162,1,0,1,0,0
163,1,0,0,0,0
164,1,0,0,0,0
165,1,0,0,0,0
166,1,0,1,0,0
167,1,0,1,1,0
168,1,0,1,1,0
169,1,0,1,1,0
170,1,1,1,0,0
171,1,1,1,0,0
172,1,1,1,1,0
173,1,0,1,0,0
174,1,0,0,0,0
175,1,0,0,0,0
176,1,1,1,1,0
177,1,1,1,0,0
178,1,1,1,0,0
179,1,1,1,1,0
180,1,0,0,0,0
181,1,0,0,0,0
182,1,1,1,0,0
183,1,1,1,1,0
184,1,0,0,0,0
185,1,0,0,0,0
186,1,0,0,0,0
187,1,0,0,0,0
188,1,0,0,0,0
189,1,0,0,0,0
190,5,0,0,0,0
191,5,0,0,0,0
192,5,0,0,0,0
193,5,0,0,0,0
194,5,0,0,0,1
195,5,0,0,0,0
196,5,0,0,0,0
197,5,0,0,0,0
198,5,0,0,0,0
199,5,0,0,0,0
200,5,0,0,0,0
201,5,0,0,0,0
202,5,0,0,0,0
203,5,0,0,0,0
204,5,0,0,0,0
205,5,0,0,0,0
206,5,0,1,0,0
207,5,0,1,0,0
208,5,1,1,0,0
209,5,1,0,0,1
210,5,0,1,0,0
211,5,0,0,0,0
212,5,0,0,0,0
213,5,0,0,0,0
214,5,0,0,0,0
215,5,1,1,0,0
216,5,0,0,0,0
217,5,0,0,0,0
218,5,0,0,0,0
219,2,0,0,0,0
220,2,0,0,0,0
221,2,0,0,0,0
222,2,0,0,0,0
223,2,1,1,1,0
224,2,1,1,1,0
225,2,1,1,1,0
226,2,1,1,1,0
227,2,1,1,1,0
228,2,1,1,1,0
229,2,0,0,0,0
230,2,1,1,0,0
231,2,1,1,1,0
232,2,0,1,1,0
233,2,1,1,1,0
234,2,1,1,1,0
235,2,0,0,0,0
236,2,0,0,0,0
237,2,1,1,1,0
238,2,1,1,1,0
239,2,1,1,1,0
240,2,1,1,1,0
241,2,1,1,1,0
242,2,1,1,1,0
243,2,0,0,0,0
244,2,0,0,0,0
245,2,1,1,1,0
246,2,1,1,1,0
247,2,1,1,1,0
248,2,1,1,1,0
249,2,1,1,1,0
250,2,1,1,1,0
251,5,0,0,0,0
252,5,0,0,0,0
253,5,0,0,0,0
254,5,0,0,0,0
255,5,0,0,0,0
256,5,0,0,0,0
257,5,0,1,0,0
258,5,0,1,0,0
259,5,1,1,0,0
260,5,1,1,0,0
261,5,0,0,0,0
262,5,0,0,0,0
263,5,0,0,0,0
264,5,0,0,0,0
265,5,0,0,0,0
266,5,0,0,0,0
267,5,0,1,0,0
268,5,0,1,0,0
269,5,0,0,0,0
270,5,0,0,0,0
271,5,1,0,0,0
272,5,1,0,1,0
273,5,0,1,0,0
274,5,0,1,0,0
275,5,0,1,0,0
276,5,0,0,0,0
277,5,1,1,0,0
278,5,1,1,0,0
279,5,0,1,1,0
280,5,1,0,1,0
281,5,0,0,0,0
282,5,1,1,0,0
283,5,0,0,0,0
284,5,0,0,0,0
285,5,0,0,0,0
286,5,0,0,0,0
287,5,1,0,0,0
288,5,1,0,0,0
289,5,1,1,0,0
290,5,1,1,0,0
291,5,1,0,0,0
292,5,1,0,0,0
293,5,1,0,0,0
294,5,1,0,0,0
295,5,0,0,0,0
296,5,0,0,0,0
297,5,1,0,1,0
298,5,1,0,0,0
299,5,1,0,0,0
300,5,1,0,0,0
301,5,1,0,0,0
302,5,1,0,0,0
303,5,0,0,0,0
304,5,0,0,0,0
305,5,0,0,0,0
306,5,0,0,0,0
307,5,0,0,0,0
308,5,0,0,0,0
