Name of meat shop,SStratitratification,Date of sample collection,Sample type,Point of sample collection,Sample weight (Kg),Dzongkhag,Farm category,Slaughter,Mode of Transportation,Transport medium,Transported along with other meat,Date of analysis
KRT MS,STI-14,24/10/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,26/10/2022
Thai MS,STI-26,24/10/2022,Broiler,Fridge,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,26/10/2022
GM MS,STI-21,24/10/2022,Broiler,Fridge,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,26/10/2022
My MS,STI-39,24/10/2022,Broiler,Fridge,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,26/10/2022
Bebak MS,STI-36,24/10/2022,Broiler,Fridge,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,26/10/2022
Shingden MS,STI-26,24/10/2022,Broiler,Fridge,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,26/10/2022
Subash MS,STI-37,24/10/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,26/10/2022
AB's MS,STI-38,24/10/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,26/10/2022
Saspra MS,STI-01,24/10/2022,Broiler,Fridge,,Chukha,Commercial,Meat processing plant,Closed meat van,With ice,No,26/10/2022
Debsi MS,STI-29,24/10/2022,Broiler,Fridge,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,26/10/2022
Babesa MS,STI-40,24/10/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,26/10/2022
P.T MS,STI-13,24/10/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,26/10/2022
Easy MS,STII-31,24/10/2022,Broiler,Display table,,Samtse,Commercial,Farm premises,Closed meat van,With ice,No,26/10/2022
DJ MS,STIII-09,24/10/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,26/10/2022
Daga MS,STI-25,24/10/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,26/10/2022
Babesa MS,STIII-01,24/10/2022,Broiler,Fridge,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,26/10/2022
M.G MS,STI-41,24/10/2022,Broiler,Fridge,,Tsirang,Commercial,Farm premises,Closed meat van,With ice,No,26/10/2022
Four Star MS,STII-28,24/10/2022,Broiler,Fridge,,Dagana,Commercial,Farm premises,Closed meat van,With ice,No,26/10/2022
Three Brothers MS,STII-08,24/10/2022,Broiler,Display table,,Chukha,Commercial,Meat processing plant,Closed meat van,With ice,No,26/10/2022
Town MS,STII-21,24/10/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,26/10/2022
BK MS,STII-30,24/10/2022,Broiler,Fridge,,Samtse,Commercial,Farm premises,Closed meat van,With ice,No,26/10/2022
MK MS,STIII-02,24/10/2022,Broiler,Fridge,,Thimphu,Commercial,Farm premises,Closed meat van,With ice,No,26/10/2022
Hontsho MS,STI-30,15/12/2022,Broiler,Display table,,Chukha,Semi-commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
MK MS,STIII-02,15/12/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
BK MS,STII-30,15/12/2022,Broiler,Display table,,Samtse,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Easy MS,STII-31,15/12/2022,Broiler,Fridge,,Samtse,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
M.G MS,STI-41,15/12/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Babesa MS,STIII-01,15/12/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
DJ MS,STIII-09,15/12/2022,Spent layer,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Subash MS,STI-37,15/12/2022,Broiler,Fridge,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Shingden MS,STI-26,15/12/2022,Broiler,Fridge,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Bebak MS,STI-36,15/12/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
My MS,STI-39,15/12/2022,Broiler,Fridge,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Kancha MS,STII-09,15/12/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
BM MS,STI-09,15/12/2022,Broiler,Fridge,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Babesa MS,STI-40,15/12/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
P.R MS,STII-29,15/12/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
P.T MS,STI-13,15/12/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Debsi MS,STI-29,15/12/2022,Broiler,Display table,,Chukha,Semi-commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
DB MS,STII-11,16/12/2022,Broiler,Display table,,Thimphu,Semi-commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Four Star MS,STII-28,16/12/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Motithang MS,STII-18,16/12/2022,Broiler,Display table,,Samtse,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Tek Maya MS,STII-19,16/12/2022,Broiler,Display table,,Samtse,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Dagana MS,STI-23,16/12/2022,Broiler,Display table,,Dagana,Commercial,Meat processing plant,Closed meat van,Individual plastic wrap,No,19/12/2022
Sipsoo MS,STII-16,16/12/2022,Broiler,Fridge,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Tsirang MS,STII-17,16/12/2022,Broiler,Fridge,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Shawali MS,STIII-10,16/12/2022,Broiler,Display table,,Samtse,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Three MS,STI-32,16/12/2022,Broiler,Display table,,Dagana,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Babesa MS,STI-40,16/12/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
TP MS,STII-02,16/12/2022,Broiler,Display table,,Tsirang,Commercial,Meat processing plant,Closed meat van,With ice,No,19/12/2022
Good Meal MS,STIII-03,16/12/2022,Broiler,Display table,,Dagana,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Kaka MS,STIII-06,16/12/2022,Broiler,Display table,,Tsirang,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
ARS MS,STII-24,16/12/2022,Broiler,Display table,,Dagana,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
BK MS,STIII-07,16/12/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Dragon MS,STIII-05,16/12/2022,Broiler,Display table,,Dagana,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
SNR MS,STIII-04,16/12/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
M.G MS,STI-41,16/12/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Samjana MS,STII-03,16/12/2022,Broiler,Display table,,Dagana,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Himalayan MS,STI-02,16/12/2022,Broiler,Display table,,Dagana,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Subba MS,STII-14,16/12/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Three Brothers MS,STII-08,16/12/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Dagana MS,STII-15,16/12/2022,Broiler,Display table,,Dagana,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Tila MS,STII-23,16/12/2022,Broiler,Display table,,Dagana,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
Lhams MS,STII-22,16/12/2022,Broiler,Display table,,Chukha,Commercial,Farm premises,Closed meat van,With ice,No,19/12/2022
